id,symbol,asset_class,assembly_status,status,frame_count,model_resource,sequence_resource,texture_resource
0,OBJ_EVENT_GFX_PLAYER_M,human_actor,complete_public_resource_join,READY_BILLBOARD,32,res/prebuilt/data/mmodel/mmodel/mmodel_00000421.bin,res/prebuilt/data/mmodel/mmodel/mmodel_00000446.bin,res/prebuilt/data/mmodel/mmodel/mmodel_00000090.bin
1,OBJ_EVENT_GFX_NINJA_BOY,human_actor,complete_public_resource_join,READY_BILLBOARD,16,res/prebuilt/data/mmodel/mmodel/mmodel_00000421.bin,res/prebuilt/data/mmodel/mmodel/mmodel_00000445.bin,res/prebuilt/data/mmodel/mmodel/mmodel_00000000.bin
2,OBJ_EVENT_GFX_TWIN,human_actor,complete_public_resource_join,READY_BILLBOARD,16,res/prebuilt/data/mmodel/mmodel/mmodel_00000421.bin,res/prebuilt/data/mmodel/mmodel/mmodel_00000445.bin,res/prebuilt/data/mmodel/mmodel/mmodel_00000001.bin
3,OBJ_EVENT_GFX_SCHOOL_KID_M,human_actor,complete_public_resource_join,READY_BILLBOARD,16,res/prebuilt/data/mmodel/mmodel/mmodel_00000421.bin,res/prebuilt/data/mmodel/mmodel/mmodel_00000445.bin,res/prebuilt/data/mmodel/mmodel/mmodel_00000002.bin
4,OBJ_EVENT_GFX_YOUNGSTER,human_actor,complete_public_resource_join,READY_BILLBOARD,16,res/prebuilt/data/mmodel/mmodel/mmodel_00000421.bin,res/prebuilt/data/mmodel/mmodel/mmodel_00000445.bin,res/prebuilt/data/mmodel/mmodel/mmodel_00000003.bin
5,OBJ_EVENT_GFX_BUG_CATCHER,human_actor,complete_public_resource_join,READY_BILLBOARD,16,res/prebuilt/data/mmodel/mmodel/mmodel_00000421.bin,res/prebuilt/data/mmodel/mmodel/mmodel_00000445.bin,res/prebuilt/data/mmodel/mmodel/mmodel_00000004.bin
6,OBJ_EVENT_GFX_LASS,human_actor,complete_public_resource_join,READY_BILLBOARD,16,res/prebuilt/data/mmodel/mmodel/mmodel_00000421.bin,res/prebuilt/data/mmodel/mmodel/mmodel_00000445.bin,res/prebuilt/data/mmodel/mmodel/mmodel_00000005.bin
7,OBJ_EVENT_GFX_BATTLE_GIRL,human_actor,complete_public_resource_join,READY_BILLBOARD,16,res/prebuilt/data/mmodel/mmodel/mmodel_00000421.bin,res/prebuilt/data/mmodel/mmodel/mmodel_00000445.bin,res/prebuilt/data/mmodel/mmodel/mmodel_00000006.bin
8,OBJ_EVENT_GFX_SCHOOL_KID_F,human_actor,complete_public_resource_join,READY_BILLBOARD,16,res/prebuilt/data/mmodel/mmodel/mmodel_00000421.bin,res/prebuilt/data/mmodel/mmodel/mmodel_00000445.bin,res/prebuilt/data/mmodel/mmodel/mmodel_00000007.bin
9,OBJ_EVENT_GFX_POKEMON_BREEDER_M,human_actor,complete_public_resource_join,READY_BILLBOARD,16,res/prebuilt/data/mmodel/mmodel/mmodel_00000421.bin,res/prebuilt/data/mmodel/mmodel/mmodel_00000445.bin,res/prebuilt/data/mmodel/mmodel/mmodel_00000008.bin
10,OBJ_EVENT_GFX_GUITARIST,human_actor,complete_public_resource_join,READY_BILLBOARD,16,res/prebuilt/data/mmodel/mmodel/mmodel_00000421.bin,res/prebuilt/data/mmodel/mmodel/mmodel_00000445.bin,res/prebuilt/data/mmodel/mmodel/mmodel_00000009.bin
11,OBJ_EVENT_GFX_ACE_TRAINER_M,human_actor,complete_public_resource_join,READY_BILLBOARD,16,res/prebuilt/data/mmodel/mmodel/mmodel_00000421.bin,res/prebuilt/data/mmodel/mmodel/mmodel_00000445.bin,res/prebuilt/data/mmodel/mmodel/mmodel_00000010.bin
