column,row,runtime_x,runtime_z,walkable,role
1,1,4,11,true,floor
2,1,5,11,true,floor
3,1,6,11,true,floor
4,1,7,11,true,floor
5,1,8,11,true,floor
6,1,9,11,true,floor
7,1,10,11,true,floor
8,1,11,11,true,top_left_door_approach
9,1,12,11,true,floor
10,1,13,11,true,floor
11,1,14,11,true,floor
12,1,15,11,true,floor
13,1,16,11,true,floor
14,1,17,11,true,floor
15,1,18,11,true,floor
16,1,19,11,true,floor
17,1,20,11,true,floor
18,1,21,11,true,floor
19,1,22,11,true,floor
20,1,23,11,true,floor
21,1,24,11,true,floor
22,1,25,11,true,floor
23,1,26,11,true,floor
24,1,27,11,true,floor
1,2,4,12,true,floor
2,2,5,12,true,floor
3,2,6,12,true,floor
4,2,7,12,true,floor
5,2,8,12,true,floor
6,2,9,12,true,floor
7,2,10,12,true,floor
8,2,11,12,true,floor
9,2,12,12,true,floor
10,2,13,12,true,floor
11,2,14,12,true,floor
12,2,15,12,true,floor
13,2,16,12,true,floor
14,2,17,12,true,floor
15,2,18,12,true,floor
16,2,19,12,true,floor
17,2,20,12,true,floor
18,2,21,12,true,floor
19,2,22,12,true,floor
20,2,23,12,true,floor
21,2,24,12,true,floor
22,2,25,12,true,floor
23,2,26,12,true,floor
24,2,27,12,true,floor
1,3,4,13,true,floor
2,3,5,13,true,floor
3,3,6,13,true,floor
4,3,7,13,true,floor
5,3,8,13,true,floor
6,3,9,13,true,floor
7,3,10,13,true,floor
8,3,11,13,true,floor
9,3,12,13,true,floor
10,3,13,13,true,floor
11,3,14,13,true,floor
12,3,15,13,true,floor
13,3,16,13,true,floor
14,3,17,13,true,floor
15,3,18,13,true,floor
16,3,19,13,true,floor
17,3,20,13,true,floor
18,3,21,13,true,floor
19,3,22,13,true,floor
20,3,23,13,true,floor
21,3,24,13,true,floor
22,3,25,13,true,floor
23,3,26,13,true,floor
24,3,27,13,true,floor
1,4,4,14,true,floor
2,4,5,14,true,floor
3,4,6,14,true,floor
4,4,7,14,true,floor
5,4,8,14,true,floor
6,4,9,14,true,floor
7,4,10,14,true,floor
8,4,11,14,true,floor
9,4,12,14,true,floor
10,4,13,14,true,floor
11,4,14,14,true,floor
12,4,15,14,true,floor
13,4,16,14,true,floor
14,4,17,14,true,floor
15,4,18,14,true,floor
16,4,19,14,true,floor
17,4,20,14,true,floor
18,4,21,14,true,floor
19,4,22,14,true,floor
20,4,23,14,true,floor
21,4,24,14,true,floor
22,4,25,14,true,floor
23,4,26,14,true,floor
24,4,27,14,true,floor
1,5,4,15,true,floor
2,5,5,15,true,floor
3,5,6,15,true,floor
4,5,7,15,true,floor
5,5,8,15,true,floor
6,5,9,15,true,floor
7,5,10,15,true,floor
8,5,11,15,true,floor
9,5,12,15,true,floor
10,5,13,15,true,floor
11,5,14,15,true,floor
12,5,15,15,true,floor
13,5,16,15,true,floor
14,5,17,15,true,floor
15,5,18,15,true,floor
16,5,19,15,true,floor
17,5,20,15,true,floor
18,5,21,15,true,floor
19,5,22,15,true,floor
20,5,23,15,true,floor
21,5,24,15,true,floor
22,5,25,15,true,floor
23,5,26,15,true,floor
24,5,27,15,true,floor
1,6,4,16,true,floor
2,6,5,16,true,floor
3,6,6,16,true,floor
4,6,7,16,true,floor
5,6,8,16,true,floor
6,6,9,16,true,floor
7,6,10,16,true,floor
8,6,11,16,true,floor
9,6,12,16,true,floor
10,6,13,16,true,floor
11,6,14,16,true,floor
12,6,15,16,true,floor
